# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Mon Oct 11 13:38:36 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Weiler 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag  B_Tmag  V_Tmag  Jmag    Hmag    Ksmag
0.0056 -0.43462 10.11394 0.8488398790 2.4346814156    0.847  0.271  3.7699  4.126    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.19e-13      0.00 8.014e-01 1.942e-01 7.877e-04 2.159e-04 1.967e-03 -1.000 4.420e-03 4.091 3.997 4.297 4.320 3.525 4.818 4.234 3.007 2.699 2.655
0.0056 -0.43462 10.11394 0.8535698652 2.4361155033    0.852  0.309  3.7658  4.075    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.51e-13      0.00 7.947e-01 2.007e-01 8.142e-04 2.232e-04 2.033e-03 -1.000 4.596e-03 3.998 3.906 4.214 4.237 3.425 4.749 4.149 2.895 2.579 2.533
0.0056 -0.43462 10.11394 0.8581964374 2.4375007153    0.857  0.346  3.7584  4.010    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-13      0.00 7.829e-01 2.123e-01 8.560e-04 2.346e-04 2.137e-03 -1.000 4.858e-03 3.906 3.817 4.140 4.164 3.321 4.703 4.071 2.769 2.437 2.388
0.0056 -0.43462 10.11394 0.8612123728 2.4383945465    0.860  0.368  3.7489  3.952    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-13      0.00 7.722e-01 2.227e-01 8.906e-04 2.439e-04 2.220e-03 -1.000 5.028e-03 3.849 3.768 4.110 4.136 3.252 4.710 4.037 2.671 2.317 2.263
0.0056 -0.43462 10.11394 0.8631244898 2.4389576912    0.861  0.383  3.7394  3.900    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-13      0.00 7.650e-01 2.299e-01 9.129e-04 2.498e-04 2.273e-03 -1.000 5.131e-03 3.814 3.742 4.104 4.131 3.206 4.741 4.028 2.595 2.219 2.160
0.0056 -0.43462 10.11394 0.8647710681 2.4394400120    0.863  0.400  3.7291  3.843    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.15e-13      0.00 7.590e-01 2.358e-01 9.308e-04 2.546e-04 2.315e-03 -1.000 5.230e-03 3.770 3.713 4.096 4.124 3.155 4.776 4.016 2.510 2.106 2.044
0.0056 -0.43462 10.11394 0.8660788536 2.4398217201    0.864  0.427  3.7210  3.783    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -2.5e-13      0.00 7.547e-01 2.400e-01 9.429e-04 2.578e-04 2.344e-03 -1.000 5.324e-03 3.702 3.658 4.057 4.087 3.083 4.772 3.975 2.410 1.984 1.918
0.0056 -0.43462 10.11394 0.8671506643 2.4401335716    0.865  0.463  3.7156  3.726    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.95e-13      0.00 7.514e-01 2.432e-01 9.517e-04 2.602e-04 2.365e-03 -1.000 5.381e-03 3.612 3.578 3.990 4.020 2.992 4.727 3.907 2.301 1.858 1.791
0.0056 -0.43462 10.11394 0.8676722646 2.4402852058    0.866  0.485  3.7134  3.696    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-13      0.00 7.498e-01 2.448e-01 9.555e-04 2.611e-04 2.373e-03 -1.000 5.409e-03 3.558 3.528 3.944 3.975 2.938 4.690 3.861 2.238 1.790 1.721
0.0056 -0.43462 10.11394 0.8683119416 2.4404704571    0.866  0.516  3.7113  3.656    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.69e-13      0.00 7.477e-01 2.468e-01 9.594e-04 2.622e-04 2.383e-03 -1.000 5.420e-03 3.479 3.454 3.874 3.905 2.859 4.628 3.790 2.152 1.697 1.627
